
 58,13   7,00   406,89
 61,41   7,00   429,84
 62,95   7,00   440,64
 59,59   7,00   417,15
 55,00   7,00   385,02
 59,55   7,00   416,88
 64,30   7,00   450,09
 64,95   7,00   454,68
 60,13   7,00   420,93
 67,50   7,00   472,50
 63,14   7,00   441,99
 64,65   7,00   452,52
 65,26   7,00   456,84
 68,77   7,00   481,41
 57,43   7,00   402,03
 61,64   7,00   431,46
 52,46   7,00   367,20
 56,85   7,00   397,98
 53,15   7,00   372,06
 52,07   7,00   364,50
 54,69   7,00   382,86
 57,09   7,00   399,60
 65,11   7,00   455,76
 67,96   7,00   475,74
 64,18   7,00   449,28
 60,63   7,00   424,44
 67,11   7,00   469,80
 60,67   7,00   424,71
 58,55   7,00   409,86
 63,10   7,00   441,72
 59,09   7,00   413,64
 59,40   7,00   415,80
 59,32   7,00   415,26
 62,76   7,00   439,29
 62,79   7,00   439,56
 53,58   7,00   375,03
 49,37   7,00   345,60
 48,68   7,00   340,74
 56,89   7,00   398,25
 50,42   8,00   403,38
 57,85   8,00   462,78
 56,60   8,00   452,79
 50,42   8,00   403,38
 58,89   8,00   471,15
 61,19   8,00   489,51
 57,75   8,00   461,97
 56,29   8,00   450,36
 51,87   8,00   414,99
 46,14   8,00   369,09
 45,29   8,00   362,34
 50,52   8,00   404,19
 45,22   8,00   361,80
 49,65   8,00   397,17
 44,14   8,00   353,16
 49,44   8,00   395,55
 50,73   8,00   405,81
 57,81   8,00   462,51
 51,50   8,00   412,02
 50,05   8,00   400,41
 50,52   8,00   404,19
 49,98   8,00   399,87
 52,35   8,00   418,77
 52,31   8,00   418,50
 42,09   8,00   336,69
 57,44   8,00   459,54
 50,93   8,00   407,43
 49,48   8,00   395,82
 54,00   8,00   432,00
 46,91   8,00   375,30
 52,21   8,00   417,69
 53,26   8,00   426,06
 59,60   8,00   476,82
 49,48   8,00   395,82
 57,85   8,00   462,78
 43,37   8,00   346,95
 50,73   8,00   405,81
 59,70   8,00   477,63
 53,66   8,00   429,30
 46,51   8,00   372,06
 50,89   8,00   407,16
 43,08   9,00   387,72
 46,59   9,00   419,31
 42,51   9,00   382,59
 47,97   9,00   431,73
 48,24   9,00   434,16
 45,99   9,00   413,91
 44,10   9,00   396,90
 49,86   9,00   448,74
 54,24   9,00   488,16
 51,54   9,00   463,86
 48,27   9,00   434,43
 37,44   9,00   336,96
 42,96   9,00   386,64
 44,40   9,00   399,60
 36,51   9,00   328,59
 37,74   9,00   339,66
 45,84   9,00   412,56
 44,73   9,00   402,57
 42,42   9,00   381,78
 41,49   9,00   373,41
 45,42   9,00   408,78
 45,90   9,00   413,10
 39,57   9,00   356,13
 43,23   9,00   389,07
 38,19   9,00   343,71
 39,12   9,00   352,08
 45,93   9,00   413,37
 44,79   9,00   403,11
 44,46   9,00   400,14
 45,06   9,00   405,54
 41,67   9,00   375,03
 38,43   9,00   345,87
 43,89   9,00   395,01
 45,03   9,00   405,27
 44,22   9,00   397,98
 52,68   9,00   474,12
 39,21   9,00   352,89
 43,98   9,00   395,82
 39,42   9,00   354,78
 38,70   9,00   348,30
