
 40,23  11,00   442,53
 44,43  11,00   488,70
 44,72  11,00   491,94
 49,31  11,00   542,43
 42,64  12,00   511,65
 45,20  12,00   542,43
 35,86  12,00   430,38
 35,35  12,00   424,17
 39,53  12,00   474,39
 43,42  12,00   521,10
 38,59  12,00   463,05
 46,17  12,00   554,04
 42,68  12,00   512,19
 43,00  12,00   515,97
 34,18  12,00   410,13
 42,59  12,00   511,11
 42,12  12,00   505,44
 46,89  12,00   562,68
 41,11  12,00   493,29
 42,34  12,00   508,14
 42,10  12,00   505,17
 42,95  12,00   515,43
 39,98  12,00   479,79
 36,63  12,00   439,56
 41,24  12,00   494,91
 38,05  12,00   456,57
 42,16  12,00   505,98
 40,81  12,00   489,78
 35,64  12,00   427,68
 39,94  12,00   479,25
 38,41  12,00   460,89
 43,04  12,00   516,51
 38,81  12,00   465,75
 39,67  12,00   476,01
 39,76  12,00   477,09
 42,68  12,00   512,19
 42,41  12,00   508,95
 43,00  12,00   515,97
 43,42  12,00   521,10
 41,49  12,00   497,88
 39,80  12,00   477,63
 43,04  12,00   516,51
 43,49  12,00   521,91
 43,13  12,00   517,59
 39,35  12,00   472,23
 41,04  13,00   533,52
 35,58  13,00   462,51
 34,83  13,00   452,79
 39,98  13,00   519,75
 38,92  13,00   505,98
 34,41  13,00   447,39
 35,12  13,00   456,57
 38,17  13,00   496,26
 35,54  13,00   461,97
 33,92  13,00   440,91
 39,75  13,00   516,78
 39,50  13,00   513,54
 38,11  13,00   495,45
 34,60  13,00   449,82
 40,25  13,00   523,26
 35,27  13,00   458,46
 36,28  13,00   471,69
 35,18  13,00   457,38
 37,72  13,00   490,32
 38,55  13,00   501,12
 39,63  13,00   515,16
 38,71  13,00   503,28
 40,31  13,00   524,07
 37,59  13,00   488,70
 40,89  13,00   531,63
 42,95  13,00   558,36
 36,28  13,00   471,69
 38,53  13,00   500,85
 42,97  13,00   558,63
 41,19  13,00   535,41
 35,89  13,00   466,56
 39,00  13,00   507,06
 38,92  13,00   505,98
 36,97  13,00   480,60
 38,44  13,00   499,77
 38,44  13,00   499,77
 42,16  13,00   548,10
